Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
443.2,+5 MHz,151.4,W4CMB,"Lavonia, 911 Gerard Road Tower",GA,OPEN,FM,70.43,W,ON-AIR
442.5375,+5 MHz,CC1,KN4SWB,"Walhalla, Long Mountain",SC,OPEN,DMR,70.66,WNW,ON-AIR
444.875,+5 MHz,,W4TWX,Rosman,NC,OPEN,FM,71.11,NW,ON-AIR
927.0125,-25 MHz,CC1,KA4YMY,"Gastonia, Spencer Mountain",NC,OPEN,DMR,71.58,NE,ON-AIR
145.23,-0.6 MHz,118.8 / 118.8,W4BFB,"Ranlo, Spencer Mountain",NC,OPEN,FM EchoLink,71.58,NE,ON-AIR
443.9875,+5 MHz,,KA4YMZ,"Gastonia, Spencer Mtn",NC,OPEN,DSTAR,71.6,NE,ON-AIR
147.12,+0.6 MHz,100.0 / 100.0,N4GAS,"Ranlo, Spencer Mountain",NC,OPEN,FM EchoLink,71.6,NE,ON-AIR
224.86,-1.6 MHz,100,N4GAS,"Ranlo, Spencer Mountain",NC,OPEN,FM EchoLink,71.6,NE,ON-AIR
444.55,+5 MHz,100.0 / 100.0,N4GAS,"Ranlo, Spencer Mountain",NC,OPEN,FM,71.6,NE,ON-AIR
445.725,-5 MHz,CC1,N4GAS,"Ranlo, Spencer Mountain",NC,OPEN,DMR,71.6,NE,ON-AIR
444.2875,+5 MHz,CC1,WR4SC,Beech Island,SC,OPEN,DMR,71.99,S,ON-AIR
444.7,+5 MHz,RAN,KA4YMY,"Gastonia, Spencer Mountain",NC,OPEN,NXDN,72.25,NE,OFF-AIR
